idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
204,0.550753,0.036580,0.399320,-0.027904,0.274094,-0.961298,0.999352,0.008399,-0.035006,0.004372,0.809178
205,0.555113,0.036600,0.399255,-0.049314,0.273789,-0.960525,0.998506,0.011913,-0.053321,0.004361,0.813539
206,0.559367,0.036592,0.399285,-0.069679,0.274300,-0.959116,0.997291,0.014630,-0.072087,0.004254,0.817792
207,0.563699,0.036609,0.398927,-0.094787,0.274561,-0.956886,0.995736,0.015540,-0.090931,0.004348,0.822140
208,0.567966,0.036649,0.398603,-0.112828,0.268011,-0.956786,0.993887,0.013298,-0.109601,0.004279,0.826419
209,0.572266,0.036721,0.398185,-0.132089,0.252267,-0.958600,0.991761,0.005791,-0.127974,0.004321,0.830740
210,0.576515,0.036862,0.397649,-0.140113,0.236379,-0.961506,0.989270,-0.008629,-0.145844,0.004285,0.835025
211,0.580715,0.037034,0.397076,-0.159831,0.226036,-0.960917,0.986032,-0.030657,-0.163708,0.004242,0.839267
212,0.584845,0.037276,0.396281,-0.177442,0.213747,-0.960639,0.981350,-0.061021,-0.182287,0.004213,0.843480
213,0.588912,0.037525,0.395447,-0.187722,0.200633,-0.961513,0.974184,-0.100919,-0.201944,0.004159,0.847639
214,0.592917,0.037764,0.394646,-0.202992,0.203917,-0.957712,0.963012,-0.151937,-0.222536,0.004091,0.851730
215,0.596823,0.037953,0.393682,-0.214241,0.205660,-0.954885,0.945688,-0.215561,-0.243326,0.004027,0.855757
216,0.600687,0.038013,0.392582,-0.229130,0.207399,-0.951044,0.919127,-0.292509,-0.263899,0.004019,0.859776
217,0.604559,0.038111,0.391178,-0.239479,0.206447,-0.948699,0.879502,-0.382116,-0.283663,0.004120,0.863896
218,0.608429,0.038147,0.389842,-0.247889,0.204147,-0.947035,0.822737,-0.481966,-0.301352,0.004094,0.867990
219,0.612220,0.038243,0.388359,-0.254681,0.205963,-0.944837,0.745197,-0.587596,-0.315298,0.004072,0.872062
220,0.615133,0.037677,0.387259,-0.258727,0.207246,-0.943456,0.644918,-0.692500,-0.323303,0.003165,0.875227
221,0.617334,0.036807,0.386609,-0.261140,0.203997,-0.943499,0.521598,-0.789436,-0.323615,0.002454,0.877681
222,0.618711,0.035526,0.386192,-0.261930,0.201700,-0.943774,0.377250,-0.871129,-0.314352,0.001927,0.879608
223,0.619172,0.033851,0.386028,-0.261264,0.201511,-0.943999,0.216942,-0.930693,-0.294527,0.001745,0.881352
224,0.618643,0.031585,0.385902,-0.258118,0.201903,-0.944780,0.048303,-0.962856,-0.265661,0.002331,0.883683
225,0.617129,0.028954,0.385670,-0.256605,0.201424,-0.945295,-0.119741,-0.965716,-0.230334,0.003044,0.886728
226,0.614737,0.025837,0.385592,-0.252375,0.197881,-0.947180,-0.279035,-0.941026,-0.191333,0.003929,0.890657
